normDistAlong	normRI	fraction
0.2875	1.05	0.11163268
0.2875	1.15	0.101248614
0.2875	1.25	0.085474946
0.2875	1.35	0.067314684
0.2875	1.45	0.049170222
0.2875	1.55	0.03451873
0.2875	1.65	0.026331594
0.2875	1.75	0.01865023
0.2875	1.85	0.014177335
0.2875	1.95	0.00994152
0.2875	2.05	0.008534851
0.2875	2.15	0.0065749963
0.2875	2.25	0.004536115
0.2875	2.35	0.0027817292
0.2875	2.45	0.0021653231
0.2875	2.55	0.001754386
0.2875	2.65	0.0011063695
0.2875	2.75	5.531848E-4
0.2875	2.85	3.3191085E-4
0.2875	2.95	3.6352142E-4
0.2875	3.05	3.003003E-4
0.2875	3.15	2.0546863E-4
0.2875	3.25	1.2644223E-4
0.2875	3.35	0.0
0.2875	3.45	6.3221116E-5
0.2875	3.55	7.9026395E-5
0.2875	3.65	7.9026395E-5
0.2875	3.75	3.1610558E-5
0.2875	3.85	9.4831674E-5
0.2875	3.95	0.0
0.2875	4.05	3.1610558E-5
0.2875	4.15	0.0
0.2875	4.25	0.0
0.2875	4.35	0.0
0.2875	4.45	0.0
0.2875	4.55	0.0
0.2875	4.65	0.0
0.2875	4.75	0.0
0.2875	4.85	0.0
0.2875	4.95	1.5805279E-5
0.3125	0.05	0.09271431
0.3125	0.15	0.004758952
0.3125	0.25	0.0075802202
0.3125	0.35	0.010587506
0.3125	0.45	0.015098434
0.3125	0.55	0.026910556
0.3125	0.65	0.046891954
0.3125	0.75	0.06682685
0.3125	0.85	0.09121066
0.3125	0.95	0.10646412
0.3125	1.05	0.11295923
0.3125	1.15	0.09886839
0.3125	1.25	0.08197179
0.3125	1.35	0.061184313
0.3125	1.45	0.04588436
0.3125	1.55	0.03328166
0.3125	1.65	0.023825763
0.3125	1.75	0.017222136
0.3125	1.85	0.013517284
0.3125	1.95	0.010246473
0.3125	2.05	0.008587816
0.3125	2.15	0.006371105
0.3125	2.25	0.0050999844
0.3125	2.35	0.0032398077
0.3125	2.45	0.002325221
0.3125	2.55	0.0021547046
0.3125	2.65	0.0011936134
0.3125	2.75	8.52581E-4
0.3125	2.85	4.1853977E-4
0.3125	2.95	3.410324E-4
0.3125	3.05	2.6352503E-4
0.3125	3.15	4.3404123E-4
0.3125	3.25	2.0151914E-4
0.3125	3.35	1.3951326E-4
0.3125	3.45	1.5501473E-5
0.3125	3.55	7.7507364E-5
0.3125	3.65	1.2401179E-4
0.3125	3.75	3.1002946E-5
0.3125	3.85	4.6504418E-5
0.3125	3.95	1.5501473E-5
0.3125	4.05	3.1002946E-5
0.3125	4.15	0.0
0.3125	4.25	1.5501473E-5
0.3125	4.35	1.5501473E-5
0.3125	4.45	0.0
0.3125	4.55	0.0
0.3125	4.65	0.0
0.3125	4.75	0.0
0.3125	4.85	0.0
0.3125	4.95	0.0
0.3375	0.05	0.09064347
0.3375	0.15	0.004416661
0.3375	0.25	0.0069647348
0.3375	0.35	0.009495821
0.3375	0.45	0.015747095
0.3375	0.55	0.025242917
0.3375	0.65	0.044421416
0.3375	0.75	0.06337909
0.3375	0.85	0.087449886
0.3375	0.95	0.10778352
0.3375	1.05	0.112098254
0.3375	1.15	0.09985051
0.3375	1.25	0.085241556
0.3375	1.35	0.064822994
0.3375	1.45	0.047682952
0.3375	1.55	0.036777195
0.3375	1.65	0.025242917
0.3375	1.75	0.01775158
0.3375	1.85	0.013470816
0.3375	1.95	0.010820819
0.3375	2.05	0.008204797
0.3375	2.15	0.0063192225
0.3375	2.25	0.005249032
0.3375	2.35	0.0028368554
0.3375	2.45	0.0020044846
0.3375	2.55	0.0016647414
0.3375	2.65	0.0011211524
0.3375	2.75	7.474349E-4
0.3375	2.85	4.0769178E-4
0.3375	2.95	3.567303E-4
0.3375	3.05	5.266019E-4
0.3375	3.15	2.7179453E-4
0.3375	3.25	2.8878168E-4
0.3375	3.35	1.6987158E-4
0.3375	3.45	6.794863E-5
0.3375	3.55	1.8685873E-4
0.3375	3.65	8.493579E-5
0.3375	3.75	1.6987158E-5
0.3375	3.85	3.3974316E-5
0.3375	3.95	6.794863E-5
0.3375	4.05	3.3974316E-5
0.3375	4.15	3.3974316E-5
0.3375	4.25	0.0
0.3375	4.35	0.0
0.3375	4.45	0.0
0.3375	4.55	0.0
0.3375	4.65	0.0
0.3375	4.75	0.0
0.3375	4.85	0.0
0.3375	4.95	0.0
0.3625	0.05	0.09139387
0.3625	0.15	0.0050229644
0.3625	0.25	0.0076376586
0.3625	0.35	0.009443861
0.3625	0.45	0.014638846
0.3625	0.55	0.028142363
0.3625	0.65	0.043778922
0.3625	0.75	0.06478248
0.3625	0.85	0.08932964
0.3625	0.95	0.106927216
0.3625	1.05	0.11325753
0.3625	1.15	0.09920355
0.3625	1.25	0.083085336
0.3625	1.35	0.06326871
0.3625	1.45	0.045774344
0.3625	1.55	0.03552199
0.3625	1.65	0.026198545
0.3625	1.75	0.018681299
0.3625	1.85	0.013331498
0.3625	1.95	0.010716804
0.3625	2.05	0.0090998225
0.3625	2.15	0.0064335233
0.3625	2.25	0.0052981954
0.3625	2.35	0.0030103384
0.3625	2.45	0.0016857894
0.3625	2.55	0.0014621643
0.3625	2.65	8.428947E-4
0.3625	2.75	7.912889E-4
0.3625	2.85	2.58029E-4
0.3625	2.95	8.600967E-5
0.3625	3.05	1.2041353E-4
0.3625	3.15	2.4082707E-4
0.3625	3.25	1.7201934E-4
0.3625	3.35	5.16058E-5
0.3625	3.45	8.600967E-5
0.3625	3.55	3.4403867E-5
0.3625	3.65	6.8807734E-5
0.3625	3.75	5.16058E-5
0.3625	3.85	0.0
0.3625	3.95	1.7201934E-5
0.3625	4.05	0.0
0.3625	4.15	3.4403867E-5
0.3625	4.25	0.0
0.3625	4.35	0.0
0.3625	4.45	0.0
0.3625	4.55	0.0
0.3625	4.65	0.0
0.3625	4.75	0.0
0.3625	4.85	0.0
0.3625	4.95	1.7201934E-5
0.3875	0.05	0.086698115
0.3875	0.15	0.004847016
0.3875	0.25	0.0058423853
0.3875	0.35	0.010343186
0.3875	0.45	0.014526622
0.3875	0.55	0.024451464
0.3875	0.65	0.04068031
0.3875	0.75	0.06224665
0.3875	0.85	0.0874194
0.3875	0.95	0.10486
0.3875	1.05	0.10887033
0.3875	1.15	0.10294139
0.3875	1.25	0.088775404
0.3875	1.35	0.06712252
0.3875	1.45	0.049984854
0.3875	1.55	0.037391268
0.3875	1.65	0.02668744
0.3875	1.75	0.01999394
0.3875	1.85	0.015868207
0.3875	1.95	0.011136596
0.3875	2.05	0.009217986
0.3875	2.15	0.006693498
0.3875	2.25	0.004962421
0.3875	2.35	0.0022936773
0.3875	2.45	0.0017310772
0.3875	2.55	0.001413713
0.3875	2.65	7.9341035E-4
0.3875	2.75	6.4915395E-4
0.3875	2.85	4.4719494E-4
0.3875	2.95	2.1638465E-4
0.3875	3.05	2.4523592E-4
0.3875	3.15	1.009795E-4
0.3875	3.25	1.7310772E-4
0.3875	3.35	4.327693E-5
0.3875	3.45	0.0
0.3875	3.55	5.770257E-5
0.3875	3.65	0.0
0.3875	3.75	1.4425643E-5
0.3875	3.85	4.327693E-5
0.3875	3.95	1.4425643E-5
0.3875	4.05	1.4425643E-5
0.3875	4.15	4.327693E-5
0.3875	4.25	0.0
0.3875	4.35	4.327693E-5
0.3875	4.45	0.0
0.3875	4.55	0.0
0.3875	4.65	1.4425643E-5
0.3875	4.75	1.4425643E-5
0.3875	4.85	1.4425643E-5
0.3875	4.95	5.770257E-5
0.4125	0.05	0.091548264
0.4125	0.15	0.005077877
0.4125	0.25	0.006591475
0.4125	0.35	0.010058102
0.4125	0.45	0.014777924
0.4125	0.55	0.02605667
0.4125	0.65	0.04091597
0.4125	0.75	0.06440115
0.4125	0.85	0.08635646
0.4125	0.95	0.10909298
0.4125	1.05	0.11104601
0.4125	1.15	0.102176
0.4125	1.25	0.082938656
0.4125	1.35	0.06306658
0.4125	1.45	0.048500236
0.4125	1.55	0.035252184
0.4125	1.65	0.026007844
0.4125	1.75	0.018993214
0.4125	1.85	0.014208291
0.4125	1.95	0.01219016
0.4125	2.05	0.009114138
0.4125	2.15	0.0069983564
0.4125	2.25	0.004996501
0.4125	2.35	0.0031899484
0.4125	2.45	0.001578699
0.4125	2.55	0.001448497
0.4125	2.65	8.788633E-4
0.4125	2.75	5.208079E-4
0.4125	2.85	2.9295444E-4
0.4125	2.95	3.906059E-4
0.4125	3.05	1.7902772E-4
0.4125	3.15	2.1157821E-4
0.4125	3.25	1.3020198E-4
0.4125	3.35	8.137624E-5
0.4125	3.45	1.6275248E-4
0.4125	3.55	1.6275248E-5
0.4125	3.65	6.510099E-5
0.4125	3.75	1.6275248E-5
0.4125	3.85	1.6275248E-5
0.4125	3.95	4.882574E-5
0.4125	4.05	6.510099E-5
0.4125	4.15	6.510099E-5
0.4125	4.25	1.13926726E-4
0.4125	4.35	9.765148E-5
0.4125	4.45	4.882574E-5
0.4125	4.55	1.6275248E-5
0.4125	4.65	0.0
0.4125	4.75	0.0
0.4125	4.85	0.0
0.4125	4.95	0.0
0.4375	0.05	0.09459875
0.4375	0.15	0.0055003245
0.4375	0.25	0.0070889276
0.4375	0.35	0.009719518
0.4375	0.45	0.013938711
0.4375	0.55	0.02446107
0.4375	0.65	0.039663833
0.4375	0.75	0.06308292
